	coordenadaX    coordenadaY
b1      65             62
b2      66             35
b3      54             31
b4      67             57
b5      41             17
b6      67             40
b7      109            26
b8      64             67
b9      80             92
b10     35             95
b11     41             94
b12     45             93
b13     61             96
b14     115            19
b15     9              41
b16     85             68
b17     64             51
b18     55             66
b19     58             53
b20     73             21
b21     86             18
b22     55             22
b23     52             58
b24     32             60
b25     99             40
b26     60             43
b27     7              70
b28     83             12
b29     98             52
b30     107            25
b31     104            25
b32     85             106
b33     74             75
b34     91             30
b35     115            56
b36     97             49
b37     55             73
b38     58             89
b39     23             84
b40     106            56
b41     110            33
b42     96             69
b43     13             66
b44     66             105
b45     115            52
b46     75             109
b47     4              81
b48     68             109
b49     79             50
b50     84             39
b51     74             111
b52     78             72
b53     70             69
b54     14             45
b55     49             44
b56     67             37
b57     83             15
b58     79             45
b59     84             47
b60     117            44
b61     74             57
b62     124            23
b63     80             24
b64     96             45
b65     57             24
b66     68             67
b67     49             33
b68     81             77
b69     79             84
b70     65             58
b71     101            24
b72     82             110
b73     89             76
b74     64             69
b75     56             78
b76     83             75
b77     24             68
b78     37             89
b79     19             70
b80     15             85
b81     111            26
b82     40             40
b83     60             47
b84     27             64
b85     47             59
b86     30             93
b87     42             56
b88     91             53
b89     75             94
b90     77             64
b91     73             73
b92     66             46
b93     50             79
b94     18             47
b95     55             62
b96     73             62
b97     78             68
b98     104            44
b99     83             55
b100    27             61
b101    50             39
b102    25             89
b103    77             10
b104    66             53
b105    52             68
b106    44             86
b107    85             98
b108    110            39
b109    88             79
b110    73             65
b111    126            54
b112    80             13
b113    12             82
b114    30             79
b115    29             75
b116    105            20
b117    87             82
b118    74             81
b119    74             68
b120    27             85
b121    70             88
b122    80             108
b123    66             93
b124    66             98
b125    41             89
b126    78             79
b127    82             61
b128    108            19
b129    79             103
b130    96             58
b131    112            17
b132    67             89
b133    121            29
b134    18             83
b135    84             86
b136    102            70
b137    113            26
b138    47             30
b139    61             79
b140    86             31
b141    52             54
b142    22             66
b143    75             88
b144    156            40
b145    6              87
b146    25             95
b147    20             93
b148    23             94
b149    97             100
b150    95             102
b151    91             99
b152    128            20
b153    40             60
b154    92             105
b155    109            46
b156    29             54
b157    66             60
b158    111            19
b159    77             65
b160    93             41
b161    61             58
b162    74             102
b163    67             101
b164    49             91
b165    46             98
b166    92             61
b167    72             86
b168    58             60
b169    35             69
b170    71             65
b171    73             31
b172    55             42
b173    91             50
b174    85             51
b175    19             88
b176    11             86
b177    39             87
b178    44             50
b179    54             46
b180    72             72
b181    34             47
b182    99             40
b183    71             50
b184    59             69
b185    71             26
b186    62             64
b187    53             40
b188    87             42
b189    41             39
b190    123            28
b191    52             89
b192    79             17
b193    57             57
b194    69             74
b195    52             50
b196    57             24
b197    45             22
b198    81             16
b199    58             85
b200    32             59
b201    89             65
b202    135            39
b203    77             51
b204    12             90
b205    90             96
b206    92             75
b207    63             104
b208    85             16
b209    38             46
b210    71             79
b211    61             86
b212    34             84
b213    88             55
b214    73             100
b215    50             75
b216    70             65
b217    46             4
b218    73             77
