Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
"01/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""9:20:00"",""CGTO MONTEBELLO E1"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",34,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""COMERCIANTE"",""-"",""PRIMARIA"",76001000,1"
"01/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""7:15:00"",""PROMOCIONES POPULARES E14"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",60,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""PRIMARIA"",76001000,1"
"01/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""7:20:00"",""V. MERCEDES I - V. LUZ- LAS GARZAS E21"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",19,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"01/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""8:20:00"",""DESEPAZ INVICALI E21"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",30,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"01/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""6:10:00"",""LA FLORESTA E8"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",31,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""PRIMARIA"",76001000,1"
"01/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""14:05:00"",""MARROQUIN III E13"",""URBANA"",""DENTRO DE LA VIVIENDA"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",24,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"01/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""20:47:00"",""LOS PINOS E7"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""PASAJERO MOTOCICLETA"",""A PIE"",28,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"01/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""15:46:00"",""SAN JUDAS TADEO I E10"",""URBANA"",""LOCAL COMERCIAL"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",24,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"01/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""6:33:00"",""MARIANO RAMOS E16"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",27,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""INDEPENDIENTE"",""-"",""SECUNDARIA"",76001000,1"
"02/01/2017,""VALLE"",""CALI (CT)"",""Lunes"",""18:10:00"",""POTRERO GRANDE E21"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",23,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
