	coordenadaX    coordenadaY
e1      47             5
e2      15             22
e3      40             44
e4      34             53
e5      27             46
e6      18             65
e7      21             57
e8      49             18
e9      55             46
e10     52             33
e11     56             36
e12     28             83
e13     67             45
e14     50             53
e15     24             84
e16     14             80
e17     28             71
e18     5              80
e19     26             67
e20     30             90
e21     35             97
e22     36             89
e23     53             68
e24     67             56
e25     84             62
e26     52             71
e27     87             47
e28     113            58
e29     91             28
e30     48             50
e31     124            27
e32     111            25
e33     83             21
e34     126            42
e35     51             30
e36     68             31
e37     90             19
e38     61             31
e39     77             10
e40     82             15
e41     83             76
e42     75             81
e43     59             90
e44     73             90
e45     72             106
e46     86             95
e47     68             100
e48     93             72
e49     84             86
e50     98             59
e51     74             109
e52     90             104
e53     97             101
e54     51             37
e55     4              52
e56     59             43
e57     0              0
e58     0              0
e59     50             37
e60     51             35
e61     46             69
e62     51             49
e63     0              23
e64     50             40
e65     51             38
e66     52             46
e67     75             32
e68     53             44
e69     49             100
